               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,             0.01838,            0.030293,           0.0064231,             0.79267,             0.78082,             0.77826,             0.60877,            0.016545,            0.025053,            0.012741,            0.002674,            0.002674,            0.002674
                  76,            0.018436,            0.030508,           0.0060733,             0.78132,             0.78566,             0.79118,             0.61168,            0.016481,            0.025266,             0.01281,            0.002575,            0.002575,            0.002575
                  77,            0.018348,            0.030003,           0.0063527,             0.79776,             0.74301,             0.77342,             0.60189,            0.016542,            0.025417,            0.013394,            0.002476,            0.002476,            0.002476
                  78,            0.018089,            0.030022,           0.0060259,             0.80502,             0.75202,             0.77631,             0.60572,            0.016491,            0.025395,            0.013081,            0.002377,            0.002377,            0.002377
                  79,            0.018198,             0.02998,           0.0060286,             0.79428,             0.76938,             0.78861,             0.62163,            0.016511,            0.025138,            0.012801,            0.002278,            0.002278,            0.002278
                  80,            0.018237,            0.030133,           0.0058956,             0.81422,             0.77121,             0.79188,             0.61549,            0.016489,            0.025251,            0.013156,            0.002179,            0.002179,            0.002179
                  81,            0.017996,            0.030026,           0.0057129,              0.8195,             0.74713,              0.7824,             0.60934,            0.016503,            0.025107,            0.013552,             0.00208,             0.00208,             0.00208
                  82,            0.017899,            0.029641,           0.0057013,             0.81945,             0.75759,             0.79847,             0.62337,             0.01647,            0.025076,            0.012833,            0.001981,            0.001981,            0.001981
                  83,             0.01797,             0.02981,           0.0054385,             0.81199,             0.74813,             0.79295,             0.62179,            0.016463,             0.02522,            0.013621,            0.001882,            0.001882,            0.001882
                  84,            0.017946,            0.029956,           0.0054478,             0.83002,             0.75464,             0.80017,              0.6253,            0.016404,            0.025124,             0.01312,            0.001783,            0.001783,            0.001783
                  85,            0.017616,            0.028989,           0.0052577,             0.80788,             0.76023,             0.79025,             0.62029,            0.016436,            0.025134,            0.013512,            0.001684,            0.001684,            0.001684
                  86,            0.017754,            0.029677,           0.0051948,             0.80081,             0.77248,             0.79157,             0.61781,            0.016488,            0.025264,            0.013658,            0.001585,            0.001585,            0.001585
                  87,             0.01765,            0.029377,           0.0050848,             0.82877,             0.76649,             0.79075,             0.61737,            0.016547,            0.025325,            0.013502,            0.001486,            0.001486,            0.001486
                  88,            0.017679,            0.029293,           0.0051117,             0.82572,             0.74632,             0.78609,             0.61491,            0.016477,            0.025351,            0.013985,            0.001387,            0.001387,            0.001387
                  89,            0.017749,            0.029682,           0.0049845,             0.80872,             0.75968,             0.78936,             0.61943,            0.016492,             0.02535,            0.013778,            0.001288,            0.001288,            0.001288
                  90,             0.01759,            0.029168,           0.0048198,             0.84212,             0.74281,             0.79294,             0.61927,             0.01644,            0.025307,            0.013768,            0.001189,            0.001189,            0.001189
                  91,            0.017554,            0.029185,           0.0047275,             0.82877,             0.75251,             0.78917,             0.61493,            0.016462,             0.02525,            0.013441,             0.00109,             0.00109,             0.00109
                  92,            0.017363,            0.028848,           0.0045123,             0.83369,              0.7515,             0.78989,             0.61582,            0.016427,            0.025314,            0.014162,            0.000991,            0.000991,            0.000991
                  93,            0.017424,            0.028842,           0.0046039,             0.83211,             0.73853,             0.77979,             0.61229,            0.016441,            0.025379,             0.01416,            0.000892,            0.000892,            0.000892
                  94,              0.0172,            0.028848,           0.0043709,              0.7819,             0.76961,             0.78145,             0.61337,            0.016468,            0.025468,            0.014667,            0.000793,            0.000793,            0.000793
                  95,             0.01741,            0.028927,           0.0045101,             0.78456,             0.77052,             0.78471,              0.6129,            0.016472,            0.025422,            0.014582,            0.000694,            0.000694,            0.000694
                  96,            0.017227,              0.0287,           0.0042429,             0.83863,             0.74295,             0.79132,             0.61801,            0.016418,            0.025327,            0.014545,            0.000595,            0.000595,            0.000595
                  97,            0.017321,            0.028927,           0.0044902,             0.79702,             0.76409,             0.78836,             0.61693,             0.01646,            0.025385,            0.014385,            0.000496,            0.000496,            0.000496
                  98,            0.017107,             0.02851,           0.0041112,             0.85087,             0.73447,             0.79286,             0.62056,            0.016389,            0.025267,            0.014352,            0.000397,            0.000397,            0.000397
                  99,            0.017036,            0.028238,           0.0040895,             0.80344,             0.77676,             0.79225,              0.6214,            0.016411,            0.025376,            0.014331,            0.000298,            0.000298,            0.000298
